Branch Name,Latitude,Longitude,Polygons
KFC- Garden,24.8841111111111,67.0289166666667,null
KFC Bahria Town Lahore - 1,31.389114,74.1910771,null
KFC Barket Market Lahore,31.5013491,74.3199792,null
KFC Thokar Niaz Baig Lahore,31.4681844,74.2326762,null
KFC Johar Town Lahore,31.4513482,74.2715388,null
KFC MM Alam Lahore,31.5142504,74.3516721,null
KFC Cavalry Lahore,31.5014096,74.3647505,null
KFC DHA Y Block Lahore,31.474001,74.3778150000001,null
KFC DHA H block Lahore,31.4814049,74.3955406,null
KFC GT Road Lahore,31.5790772,74.369226,null
KFC Mall Road Lahore,31.562015,74.3181689,null
KFC Shadman Lahore,31.5379269,74.3369322999999,null
KFC Iqbal Town Lahore,31.5224721,74.2900373,null
KFC Fortress Lahore,31.5328526,74.3621951,null
KFC DHA Phase 5 Lahore,31.462677,74.4166715,null
KFC Park Lane Tower Lahore,31.5292971,74.3787239000001,null
KFC - Palace,24.767622,67.089043,null
KFC - Badar Commercial,24.799932,67.047141,null
KFC - Rahat Commercail,24.809121,67.068835,null
KFC - Khayaban-e-Ittehad,24.8331,67.073647,null
KFC - Boat Basin,24.826664,67.027293,null
KFC - Atrium,24.855931,67.029814,null
KFC - SMCHS,24.8625601,67.0551342,null
KFC - Malir Cantt,24.9421965,67.2048229,null
KFC - MACHS,24.8753068,67.0881093,null
KFC - Bahadurabad,24.8815263,67.0668608,null
KFC - SITE,24.9033311,67.0030671,null
KFC - F.B Area,24.9249959,67.0603752,null
KFC - North Nazimabad,24.928119,67.033816,null
KFC -  Five star,24.943001,67.0458522,null
KFC - I.I.Chundrigar Road,24.8497513,67.0044351,null
KFC - Delco Korangi,24.8405923,67.1278167,null
KFC - Millenium Mall,24.9012194,67.1155617,null
KFC - Shahrah e Faisal,24.8604769,67.0652461,null
KFC - Sukkur,27.7012027,68.846308,null
KFC - Thandi Sarak,25.3800276,68.3365971,null
KFC - Larkana,27.5506232,68.2113808,null
KFC - Gulshan,24.9098363,67.0858347,null
KFC - Boulevard mall,25.3650068,68.3779943,null
KFC - Quetta,30.1993134,67.0204532,null
KFC - Gulshan Disco,24.9315486,67.1011019,null
KFC Multan,30.1954537,71.4421663000001,null
KFC- F6 Markaz Islamabad,33.7292641,73.0747652,null
Kfc I-8 Markaz Islamabad,33.6673138,73.0752531,null
KFC - D Ground Faisalabad,31.4064655,73.1125033000001,null
KFC - Civil Lines Faisalabad,31.4327649,73.0797044999999,null
KFC- F10 Markaz Islamabad,33.6942077,73.0133708,null
KFC Saddar Rawalpindi ,33.5940613,73.0562268,null
KFC - Chaklala Scheme 3 RWP,33.5849488,73.0893055,null
KFC - Satellite Town RWP,33.63344,73.07086,null
KFC Bahria Town Phase 4 Rawalpindi,33.5504975,73.1256652,null
